date,visitor,visitor_score,home,home_score,notes,location
11/14/2002,Alabama,68,Oklahoma,62,N,"New York, NY"
11/14/2002,Memphis,70,Syracuse,63,N,"New York, NY"
11/15/2002,Eastern Washington,55,Wisconsin,81,,
11/15/2002,Northern Illinois,56,Winthrop,50,N,"Madison, WI"
11/15/2002,Texas,77,Georgia,71,N,"New York, NY"
11/15/2002,Villanova,61,Marquette,73,N,"New York, NY"
11/16/2002,Cleveland St.,66,Florida Atlantic,71,N,"Ft. Collins, CO"
11/16/2002,IUPU Ft. Wayne,62,Colorado St.,80,,
11/16/2002,Northern Illinois,56,Wisconsin,84,,
11/16/2002,Eastern Washington,75,Winthrop,61,N,"Madison, WI"
11/17/2002,IUPUI,66,Brown,65,N,"South Bend, IN"
11/17/2002,Belmont,48,Notre Dame,76,,
11/17/2002,Alabama St.,73,Furman,74,N,"Omaha, NE"
11/17/2002,Texas Arlington,50,Creighton,106,,
11/18/2002,Brown,77,Belmont,83,1N,"South Bend, IN"
11/18/2002,Alabama St.,47,Texas Arlington,59,N,"Omaha, NE"
11/18/2002,St. Peter's,48,Xavier,87,,
11/18/2002,Penn St.,55,North Carolina,85,,
11/18/2002,Columbia,36,Rutgers,60,,
11/18/2002,Cleveland St.,78,IUPU Ft. Wayne,71,N,"Ft. Collins, CO"
11/18/2002,IUPUI,45,Notre Dame,89,,
11/18/2002,Furman,57,Creighton,82,,
11/18/2002,Boston University,57,Stanford,61,,
11/18/2002,Eastern Illinois,73,Boise St.,59,,
11/18/2002,Florida Atlantic,56,Colorado St.,81,,
11/19/2002,Louisiana Tech,55,Florida,76,,
11/19/2002,Wagner,65,NC Greensboro,84,,
11/19/2002,Florida Atlantic,93,IUPU Ft. Wayne,86,2N,"Ft. Collins, CO"
11/19/2002,Holy Cross,57,Kansas,81,,
11/19/2002,Cleveland St.,63,Colorado St.,77,,
11/20/2002,Rutgers,67,North Carolina,71,,
11/20/2002,Xavier,62,Stanford,63,,
11/21/2002,Eastern Illinois,65,Florida,99,,
11/21/2002,Wisconsin Green Bay,55,Alaska Fairbanks,78,,
11/21/2002,Centenary,45,Nebraska,68,N,"Fairbanks, AK"
11/22/2002,Vermont,71,Eastern Michigan,64,N,"Poughkeepsie, NY"
11/22/2002,Virginia Tech,78,St. Bonaventure,91,N,"St. Thomas, VI"
11/22/2002,Western Michigan,59,Princeton,62,N,"Norman, OK"
11/22/2002,Northern Arizona,65,High Point,70,N,"New Britain, CT"
11/22/2002,Idaho St.,71,Texas San Antonio,76,1N,"Milwaukee, WI"
11/22/2002,South Alabama,82,Southern,61,,
11/22/2002,NC Greensboro,66,Kansas,105,,
11/22/2002,NC Asheville,52,Michigan St.,66,,
11/22/2002,Delaware,56,La Salle,73,,
11/22/2002,Delaware St.,46,West Virginia,59,,
11/22/2002,Fordham,79,William & Mary,76,,
11/22/2002,Marshall,92,Niagara,90,,
11/22/2002,Howard,68,St. Francis PA,70,,
11/22/2002,James Madison,68,Furman,66,,
11/22/2002,Coastal Carolina,77,Western Carolina,72,,
11/22/2002,Nova Southeast,60,South Florida,99,,
11/22/2002,Mars Hill,72,Appalachian St.,104,,
11/22/2002,St. Leo,55,Jacksonville,85,,
11/22/2002,Youngstown St.,56,Indiana St.,63,,
11/22/2002,Butler,69,IUPU Ft. Wayne,53,,
11/22/2002,Webber College,60,The Citadel,83,,
11/22/2002,Mount St. Mary's,60,North Carolina St.,84,,
11/22/2002,Long Island,86,Virginia,90,,
11/22/2002,Grambling,46,Georgetown,99,,
11/22/2002,Drexel,41,Villanova,64,,
11/22/2002,Radford,46,Richmond,92,,
11/22/2002,Long Beach St.,61,Charlotte,89,,
11/22/2002,Colgate,65,Marist,72,,
11/22/2002,George Mason,58,Central Michigan,61,,
11/22/2002,Morehead St.,56,Arizona St.,59,,
11/22/2002,Dartmouth,62,Lehigh,68,,
11/22/2002,Central Florida,56,Navy,68,,
11/22/2002,Gardner Webb,69,Tennessee,71,N,"St. Thomas, VI"
11/22/2002,Toledo,56,Brigham Young,71,N,"St. Thomas, VI"
11/22/2002,College of Charleston,84,Charleston Southern,70,N,"Charleston, SC"
11/22/2002,Guilford,37,East Tennessee St.,104,,
11/22/2002,Trevecca Nazarene,94,Tennessee St.,107,,
11/22/2002,American,57,Missouri,72,,
11/22/2002,Alabama St.,56,Alabama,82,,
11/22/2002,Cal Irvine,65,Oklahoma,87,,
11/22/2002,Illinois Chicago,68,Evansville,73,,
11/22/2002,Yale,59,Oklahoma St.,68,,
11/22/2002,Alcorn St.,70,Southern Mississippi,78,,
11/22/2002,Albany,75,Siena,79,,
11/22/2002,Robert Morris,83,Missouri Kansas City,77,,
11/22/2002,St. Peter's,67,Central Connecticut,77,,
11/22/2002,East Carolina,65,Middle Tennessee St.,63,,
11/22/2002,Wofford,63,Auburn,81,,
11/22/2002,SE Louisiana,58,Vanderbilt,80,,
11/22/2002,Tennessee Martin,63,St. Louis,58,,
11/22/2002,Birmingham Southern,53,UAB,71,,
11/22/2002,West Florida,66,Murray St.,87,,
11/22/2002,Texas Wesleyan,54,McNeese St.,85,,
11/22/2002,Pepperdine,81,Bradley,95,1,
11/22/2002,Florida Atlantic,62,Drake,74,,
11/22/2002,North Texas,81,Southwest Missouri St.,78,,
11/22/2002,Southeast Missouri St.,71,Arkansas St.,83,,
11/22/2002,Cornell,78,Buffalo,72,,
11/22/2002,Rhode Island,95,Northeastern,82,n,"Boston, MA"
11/22/2002,Chattanooga,68,Samford,66,,
11/22/2002,Tuskegee,79,Alabama A&M,96,,
11/22/2002,Jackson St.,44,Arkansas,81,,
11/22/2002,Tulane,58,Rice,72,,
11/22/2002,Coppin St.,46,Marquette,64,,
11/22/2002,Bucknell,42,Notre Dame,73,,
11/22/2002,Miami OH,46,Purdue,73,,
11/22/2002,Austin Peay,81,Memphis,80,1,
11/22/2002,Harvard,69,Fairfield,67,,
11/22/2002,Nicholls St.,24,Louisiana St.,68,,
11/22/2002,Southern Utah,47,Utah,61,,
11/22/2002,MD Eastern Shore,36,Northwestern,56,,
11/22/2002,New Mexico St.,62,Texas Pan American,59,N,"South Padre Island, TX"
11/22/2002,Sam Houston St.,81,Texas Christian,91,,
11/22/2002,NC Wilmington,76,Texas Tech,85,,
11/22/2002,Northern Iowa,77,Montana,71,,
11/22/2002,Hofstra,61,Gonzaga,69,,
11/22/2002,Cal Poly,69,Colorado,97,,
11/22/2002,Texas A&M Corpus Chris,83,Cal St. Fullerton,76,N,"Honolulu, HI"
11/22/2002,Pacific Oregon,42,Portland,70,,
11/22/2002,Cal St. Northridge,65,Portland St.,69,,
11/22/2002,Loyola Chicago,79,Loyola Marymount,85,,
11/22/2002,Santa Clara,78,Pacific,72,,
11/22/2002,Cal Riverside,67,Southern California,81,,
11/22/2002,Weber St.,91,Cal Santa Barbara,82,N,"Fairbanks, AK"
