11/09/2000 Kansas                  99 UCLA                    98 N New York, NY
11/09/2000 Kentucky                61 St. John's (NY)         62
11/10/2000 UCLA                    97 Kentucky                92 N New York, NY
11/10/2000 Winthrop                61 North Carolina          66
11/10/2000 Kansas                  82 St. John's (NY)         74
11/10/2000 Arizona St.             67 Tulsa                   69 N Chapel Hill, NC
11/11/2000 Winthrop                68 Arizona St.             76 N Chapel Hill, NC
11/11/2000 Tulsa                   81 North Carolina          91
11/13/2000 Mississippi St.         76 California              83
11/13/2000 Delaware                49 Temple                  56
11/13/2000 Navy                    65 Texas                   79
11/13/2000 George Mason            68 New Mexico              79
11/14/2000 Pepperdine              68 Indiana                 80
11/14/2000 South Alabama           67 Marquette               54
11/14/2000 Fairfield               85 Villanova              101
11/14/2000 Princeton               50 Duke                    87
11/15/2000 New Mexico              49 Temple                  61
11/15/2000 California              54 Texas                   57
11/16/2000 Jackson St.             63 Austin Peay             85 N Fairbanks, AK
11/16/2000 Air Force               59 Houston                 53 N Winston-Salem, NC
11/16/2000 Mount St. Mary's        61 Wake Forest            108
11/16/2000 Colorado                79 Alaska Fairbanks        68
11/17/2000 Wisconsin Green Bay     62 Idaho                   50
11/17/2000 Drexel                  87 Fairleigh Dickinson     97
11/17/2000 Louisville              86 Hawaii                  71
11/17/2000 Utah St.                76 Santa Clara             67 N Fairbanks, AK
11/17/2000 Missouri Kansas City    62 Morris Brown            70
11/17/2000 Hobart                  65 Colgate                 99
11/17/2000 Hofstra                 81 Northern Illinois       57 N Miami, FL
11/17/2000 Columbia                63 Catholic                58 N New Britain, CT
11/17/2000 East Carolina           86 Arkansas St.            72 N Poughkeepsie, NY
11/17/2000 Mount St. Mary's        52 Houston                 77 N Winston-Salem, NC
11/17/2000 Villanova               85 Duke                    98
11/17/2000 Pennsylvania            64 North Carolina St.      77
11/17/2000 Michigan                90 Oakland                 97
11/17/2000 Louisiana Tech          63 Southern Mississippi    70 N Fayetteville, AR
11/17/2000 High Point              62 William & Mary          87
11/17/2000 South Carolina St.      60 Vanderbilt              65
11/17/2000 La Salle                78 NC Wilmington           71 N Norman, OK
11/17/2000 Brown                   91 Wagner                 122
11/17/2000 Vermont                 53 Cleveland St.           68
11/17/2000 College of Charleston   73 Charleston Southern     52
11/17/2000 Quinnipiac              72 Connecticut             86
11/17/2000 Wofford                 49 Georgia Tech            92
11/17/2000 Tusculum                58 Liberty                 84
11/17/2000 Charleston (WV)         75 Marshall               109
11/17/2000 Gardner Webb            67 VA Commonwealth         82
11/17/2000 Belmont                 65 Florida International   67
11/17/2000 Chattanooga             66 Tennessee               88
